Class,Symptoms,Disease Cycle,Predicting Infection,Preventative Measures,Treatment
Corn Northern Leaf Blight,"Lesions can eventually expand to a more oblong or “cigar” shape. They may also coalesce to form large areas of necrotic tissue.

There are several host-specific forms of E. turcicum. The most economically important host is corn, but other forms may infect sorghum, Johnson grass, or sudangrass.[2] The most common diagnostic symptom of the disease on corn is cigar-shaped or elliptical necrotic gray-green lesions on the leaves that range from one to seven inches long.[3] These lesions may first appear as narrow, tan streaks that run parallel to the leaf veins. Fully developed lesions typically have a sooty appearance during humid weather, as a result of spore (conidia) formation. As the disease progresses, the lesions grow together and create large areas of dead leaf tissue. The lesions found in Northern corn leaf blight are more acute if the leaves above the ear are infected during or soon after flowering of the plant.[4] In susceptible corn hybrids, lesions are also found on the husk of ears or leaf sheaths. In partially resistant hybrids, these lesions tend to be smaller due to reduced spore formation. In highly resistant hybrids, the only visible disease symptoms may be minute yellow spots.[5]

On severely infected plants, lesions can become so numerous that the leaves are eventually destroyed. Late in the season, plants may look like they have been killed by an early frost. Lesions on products containing resistance genes may appear as long, chlorotic, streaks, which can be mistaken for Stewart’s wilt or Goss's wilt.","In nature, E. turcicum lives and reproduces in an asexual phase with a relatively simple life cycle. In temperate regions, the fungus overwinters mycelia, conidia, and chlamydospores in the infected corn debris.[2] When conditions become favorable the following season, conidia are produced from the debris and dispersed by rain or wind to infect new, healthy corn plants.[5] Once on a leaf, conidia will germinate and directly infect the plant. The damage to the plant is relatively localized, although diseased corn plants are more susceptible to stalk rot than are healthy plants.[2] In conditions with high humidity, the fungus will produce new spores at the leaf surface, which are spread by rain or wind through the crop and create cycles of secondary infection.[5] One complete cycle on susceptible plants takes approximately 10 to 14 days, whereas it takes about 20 days on plants with resistance.[2] At the end of the season, E. turcicum goes into a state of dormancy in crop residue.

",,"Preventative management strategies can reduce economic losses from NCLB. Preventative management is especially important for fields at high risk for disease development. In-season disease management options, such as fungicides, are also available.

Management of NCLB can be achieved primarily by using hybrids with resistance, but because resistance may not be complete or may fail, it is advantageous to utilize an integrated approach with different cropping practices and fungicides. Scouting fields and monitoring local conditions is vital to control this disease.[5]

Major (vertical) resistance of corn hybrids comes from the race specific Ht1, Ht2, Ht3, and HtN genes, with the Ht1 gene being most prevalent. Plants with Ht1 Ht2, or Ht3 genes have smaller, chlorotic lesions and reduced sporulation.[2] The HtN gene delays symptoms until after the pollen shed. Individually, each Ht gene has limited effectiveness because there are races of E. turcicum that are virulent in the presence of one or the other. For example, widespread use of the Ht1 gene has reduced the prevalence of the Race 0 to which it has resistance against, but has increased Race 1. Breeders are now focusing on incorporating several resistance genes into corn hybrids. Incorporating both the Ht1 and Ht2 provide resistance against both Races 0 and 1. Thus far, this multigenic approach has proven to be effective. However resistant plants still show some symptoms, and the threat of new races showing up lends to the need for other management practices, especially in areas where the disease is present.[9]

Ways to change cropping practices to control the disease include reducing the amount of infected residue left in a field, managing weeds to improve airflow and reduce humidity, and encouraging residue decomposition with tillage. The tillage will assist in breaking down crop debris and reducing existing inoculum. In a system with normal tillage, a one-year rotation out of corn can be effective, but a two-year rotation may be required for a reduced-tillage system. If possible, planting in low areas that receive heavy dew and fog should be avoided.[5] A combination of crop rotation for one to two years followed by tillage is recommended to prevent NCLB disease development.[10]

The use of foliar fungicides for corn have also been shown to control NCLB.[5] Research suggests that using fungicides to keep the upper 75% of the leaf canopy disease-free for three quarters of the grain-filling period will eliminate yield loss [11] To ensure that newly emerging leaf tissue is protected from infection, before the plants are in tassel, fungicides should be applied on the same day that significant conidial dispersal is expected to occur. After tasseling and silking, timing becomes less important since plant expansion will have slowed down.[12] The disease pressure in the field and weather conditions should be monitored and evaluated beforehand to determine if fungicides are needed or not.[5]

",
Corn Healthy,,,,,
Grape Black Rot,"Relatively small, brown circular lesions develop on infected leaves and within a few days tiny black spherical fruiting bodies (pycnidia) protrude from them. Elongated black lesions on the petiole may eventually girdle these organs, causing the affected leaves to wilt. Shoot infection results in large black elliptical lesions. These lesions may contribute to breakage of shoots by wind, or in severe cases, may girdle and kill young shoots altogether. This fungus bides its time. Most plants show very little signs of infection until its too late. They will look very healthy until fruit sets. Even flowering will be normal. [1]

Infection of the fruit is the most serious phase of the disease and may result in substantial economic loss. Infected berries first appear light or chocolate brown; it will have a spot that looks very round, like the eye of a bird. That spot will get larger and infect more of the fruit bunch and more of the plant. This creates masses of black pycnidia developing on the surface. Finally, infected berries shrivel and turn into hard black raisin-like bodies that are called mummies.[1]


","The disease cycle begins with the overwintering structures. The grape black rot pathogen overwinters in many parts of the grape vine, especially mummies and lesions, and is able to overwinter on the vineyard floor.[3] In fact, ""Viable lesions capable of producing conidia can persist in wood for at least 2 years.""[4] Spring rains release the ascospores and conidia contained in the overwintering structures and these spores are “spread by wind and rain‐splash to infect leaves, blossoms and young fruit”.[5] Some of the mummies on the ground can have a significant discharge of ascospores that begins about two to three weeks after bud breaks and will mature one to two weeks after the start of bloom.[1] In the presence of moisture, these ascospores germinate slowly, taking 36 to 48 hours, but eventually penetrate the young leaves and fruit stems (pedicels). The infections become visible after 8 to 25 days. The period that overwintering spores require to cause infection depends on the inoculum source. If there is a large source of inoculum, the infection will set in earlier. The second type of spore, conidia, “are dispersed short distances (inches to feet) by splashing rain drops"" in rain storms throughout the summer.[1] Infection occurs when either of the two spore types lands on green grape tissue and the tissue remains wet for a ""sufficient length of time, which is dependent on temperature.""[1] For example, at 45°F no infection will occur regardless of moisture, while at 50°F it takes 24 hours of leaf wetness for a spore to germinate and infect the green grape tissue.[4] When a leaf or berry becomes infected, pycnidia form and produce conidia, contributing to repeated cycles of infections in summer rains.[6] At the end of the season, the fungus overwinters as pycnidia or pseudothecia within cane lesions or mummifed fruit.[6] In the spring, the pycnidia will produce conidia once again and the pseudothecia produce ascospores.[6]  

",,"A mixture of cultural and chemical control practices can manage grape black rot disease caused by Guignardia bidwellii. Cultural control aspects involve the basics in plant care and field sanitation as well as cleanup after an infectious outbreak. Chemical control has a large influence to prevent but not eliminate disease. Cultural control consists of the management of the fields and sanitation methods to optimally grow grape crops. Many universities and professors suggest the following cultural control practices:

The first cultural control method is to choose the right grape cultivar for the region that the grape will be grown in. Grape cultivars differ in their susceptibility to diseases, including differences in the disease black rot. Some varieties are less susceptible, while others are more prone to the disease when the right environmental conditions occur. Through research, many lists of grapes varieties will show the amount of resistance a variety has to disease and how the variety should be grown. A list of grape varieties is a good place to start for selecting the right grape variety.

Proper grape management in the field is important to control black rot disease. The placement of the grape plants is important to provide for proper aeration and lighting. “Choose a planting site where the vines will be exposed to full sun and good air circulation.”[2] Proper training of grape vines should be practiced. Many people use trellising to keep the vines off the ground. Trellising is a form of plant training, which is the arrangement of plant parts spatially to optimize productivity. Having the grape vines off the ground “reduces the time that vines remain wet from dew and rain and thus limits the amount of infection”.[2] As the current seasons growth occurs, tie the new growth in a spatial manner to allow for air circulation and sunlight to affect the whole grape plant.

A proper pruning technique is another cultural control method to limit diseases. Prune each vine every year during the dormant period. This dormant pruning is heavily researched to provide the term-balanced pruning. This is done by using the weight of the previous year’s cane growth (1- yr-old canes) to determine how many buds should be retained for the current production year. Up to four pounds of pruning can occur during the season. Remove excess growth, diseased and overwintering berries, leaves, and tendrils from the vineyard, and burn or otherwise destroy them.[2] This practice reduces inoculum of the fungus, thus limiting disease. During the season, minor pruning to train the canopy growth may occur to help with aeration.

The last cultural control method would be to maintain clean fields once infected. Keep the field well managed, do not allow overgrowth of weeds or plants near the grapes. Once the plants have been infected “Remove all mummies from the canopy during the dormant pruning process. Mummies produce spores next to the susceptible grapevine tissues throughout the season; even relatively few can cause significant damage.”[7] Another technique to rid of infection can be to “cultivate the vineyard before bud-break to bury the mummified berries. Diseased berries covered with soil do not produce spores that will reach the developing vines”.[2]


The use of chemical control is widely available for agricultural purposes. To apply chemical applications, look at the fungicide label for proper use. Be sure that the conditions are optimal to spray to avoid drift and inefficiencies of the fungicide due to application. Fungicide guidelines must be followed. There are a wide variety of chemicals that are available for both regular and organic growers.

Commercially, application of fungicides may be costly. To cut down on costs, one must understand the life cycle of the pathogens. Different fungicides are more effective at certain infection stages. Understand that throughout the development of the plant, different fungicides should be considered to protect plant health. In order to cut down on spraying costs, it is important to understand life cycle of the pathogen. “Research in New York demonstrated berries of most varieties become resistant to black rot infection 3-4 weeks after bloom, therefore, sprays for black rot should not be needed at this time”.[7] Understanding times to limit application is important for good production practices. This shows that preventative chemical measures before the three to four weeks would be optimal. Each region should develop their own fungicide application program in correlation with cultural practices.

The most common fungicides that prove to be excellent for certain regions of the United States for controlling black rot are Sovran 50WG, Flint 50WG, Abound Flowable (2.08F), and Pristine 38WDG. Some of these fungicides may only be available for commercial use, however homeowners may go to a hardware store or fungicide distributor for similar fungicides.

Sovran 50WG is registered for control of black rot. The Sovran label gives different use rates for control of different diseases. For black rot the rate is 3.2-4.8 oz/A. Sovran is excellent for control of black rot.[7]

Flint 50WG is in the same general class of chemistry as Abound and Sovran. It is registered for the control of black rot, powdery mildew and suppression of downy mildew. For black rot the rate is 2.0 oz/A.[7]

Abound is in the same general class of chemistry as Sovran and Flint (strobilurin). Abound is recommended at the rate of 11-15.4 fl oz/A. In university tests, the rate of 11-12 fl oz provided good control of the mentioned diseases above. Abound Flowable is very phototoxic to apples of the variety McIntosh or varieties related. Do not allow spray to drift from grapes to apples. [7]

Pristine 38WDG contains a combination of two active ingredients (pyraclostrobin, 12.8% and boscalid 25.2%).Pyraclostrobin, a strobilurin, is in the same general class of chemicals as Abound, Sovran, and Flint (strobilurin Pristine is registered for use at the rates of 6-10.5 oz/A. A maximum of six applications may be made per season). The label states, “Do not use on Concord, Worden, Fredonia, or related varieties due to possible foliar injury. Experience in New York suggests that Corot noir and Noiret may also be sensitive to Pristine.”[7]

Black Rot Control for Organic Growers

Excerpt from Dr. Wayne Wilcox’s Grape Disease Notes, 2009 suggests a possible way for controlling black rot on grapes in organic farming.

Black rot is probably the “Achilles heel” for organic grape production in the East. In the only good trial that we’ve run with copper, it provided 40% disease control when applied at 2-week intervals, versus essentially 100% control with Nova. To try to avoid this, implement a rigorous program to remove mummies during pruning, and spray copper once a week throughout much of the growing season. This was hard on some of the hybrid vines and runs counter to the thinking of many with a “sustainable” orientation (after all, copper is an element and doesn’t break down into anything else, so it stays in the soil forever), but it did control the disease in an organically acceptable manner. Limit inoculum within the vineyard. Ideally, this would include removing or burying any mummies that you might encounter at the site. All mummified clusters should be removed from the trellis during pruning and from 2 to 6 weeks after cap fall and prune out any affected clusters before they allow the disease to spread, all the better (spores for disease spread are dispersed by rain primarily within the canopy, so should pose little risk of causing new infections if said clusters are simply dropped to the ground).",
Grape Black Measles,"During the season, the spots may coalesce over the skin surface, making berries black in appearance. Spotting can develop anytime between fruit set and a few days prior to harvest. Berries affected at fruit set tend not to mature and will shrivel and dry up. In addition to spotting, fruit affected later in the season will also have an acrid taste.

","Recently, two genera of fungi have been implicated as the cause of measles and grapevine decline, a disease that affects young vineyards.",,"Presently, there are no effective management strategies for measles. Wine grape growers with small vineyards will often have field crews remove infected fruit prior to harvest. Raisins affected by measles will be discarded during harvest or at the packing house, while table grape growers will leave affected fruit on the vine. Current research is focused on protecting pruning wounds from fungal infections to minimize suspect fungi from colonizing fresh wounds.",
Grape Leaf Blight,On leaf surface we will see lesions which are irregularly shaped (2 to 25 mm in diameter). Initially lesions are dull red to brown in color turn black later. If disease is severe this lesions may coalesce. On berries we can see symptom similar to black rot but the entire clusters will collapse.,,,"Fungicides sprayed for other diseases in the season may help to reduce this disease.
",
Grape Healthy,,,,,
Orange Huanglongbing,"HLB is distinguished by the common symptoms of yellowing of the veins and adjacent tissues; followed by splotchy mottling of the entire leaf, premature defoliation, dieback of twigs, decay of feeder rootlets and lateral roots, and decline in vigor, ultimately followed by the death of the entire plant. Affected trees have stunted growth, bear multiple off-season flowers (most of which fall off), and produce small, irregularly shaped fruit with a thick, pale peel that remains green at the bottom and tastes very bitter.[5] Common symptoms can often be mistaken for nutrient deficiencies; however, the distinguishing factor between nutrient deficiencies is the pattern of symmetry. Nutrient deficiencies tend to be symmetrical along the leaf vein margin, while HLB has an asymmetrical yellowing around the vein. The most noticeable symptom of HLB is greening and stunting of the fruit, especially after ripening.","HLB was originally thought to be a viral disease, but was later discovered to be caused by bacteria, carried by insect vectors. HLB infection can arise in various climates and is often associated with different species of psyllid insects.[7] For example, citrus crops in Africa become infected under cool conditions as the bacteria are transmitted by the African citrus psyllid Trioza erytreae,[8] an invasive insect that favors cool and moist conditions for optimal growth. Citrus crops in Asia, however, are often infected under warm conditions as the bacteria are transmitted by the Asian citrus psyllid Diaphorina citri.[9][10]

The young larval stage is the most suitable for acquisition of Ca. L. asiaticus by the Asian citrus psyllid Diaphorina citri,[10] and some cultivars show greater efficiency in transmitting the disease to the vector than others.[11] Temperature also shows a great influence in the parasite-host relationship between the bacteria and the insect vector, affecting how it is acquired and transmitted by the insects.[11]

The causative agents are fastidious phloem-restricted, Gram-negative bacteria in the gracilicutes clade. The Asian form, Ca. L. asiaticus is heat tolerant. This means the greening symptoms can develop at temperatures up to 35 °C. The African form, Ca. L. africanus, and American form, Ca. L. americanus, are heat sensitive, thus symptoms only develop when the temperature is in the range 20–25 °C.[12] Although T. erytreae is the natural vector of African citrus greening and D. citri is the natural vector of American and Asian citrus greening, either psyllid can in fact transmit either of the greening agents under experimental conditions.[13]

",,"Some cultural practices can be effective in monitoring this disease. Cultural methods include antibacterial management, sanitation, removal of infected plants, frequent scouting, and most importantly, crisis declaration.[24] Tracking the disease will help prevent further infection in other affected areas and help mitigate more local infections if detected early enough. The Asian citrus psyllid has alternative hosts that may attract psyllids to citrus plants in the vicinity such as Murraya paniculata, Severinia buxifolia, and other plants in the family Rutaceae.[25]

No cure for citrus greening disease is known, and efforts to control it have been slow because infected citrus plants are difficult to maintain, regenerate, and study. Ongoing challenges associated with mitigating disease at the field-scale include seasonality of the phytopathogen (Candidatus Liberibacter spp.) and associated disease symptoms, limitations for therapeutics to contact the phytopathogen in planta, adverse impacts of broad-spectrum treatments on plant-beneficial microbiota, and potential implications on public and ecosystem health.[26]

No naturally immune citrus cultivars have been identified; however, creating genetically modified citrus may be a possible solution, but questions of its acceptability to consumers exist.[27] A researcher at Texas AgriLife Research reported in 2012 that incorporating two genes from spinach into citrus trees improved resistance to citrus greening disease in greenhouse trials.[28] Field tests by Southern Gardens Citrus of oranges with the spinach genes in Florida are ongoing.[27]

A resistant variety of mandarin orange called 'Bingo' has been bred at the University of Florida.[29] Other varieties can have a partial tolerance to the disease.[30]

Antibiotics
Researchers at the Agricultural Research Service of the United States Department of Agriculture have used lemon trees infected with citrus greening disease to infect periwinkle plants in an effort to study the disease. Periwinkle plants are easily infected with the disease and respond well when experimentally treated with antibiotics. Researchers are testing the effect of penicillin G sodium and biocide 2,2-dibromo-3-nitrilopropionamide as potential treatments for infected citrus plants based on the positive results that were observed when applied to infected periwinkle.[31] In June 2014, the USDA allocated an additional US$31.5 million to expand research combating citrus greening disease.[32]

Certain antibiotics, specifically streptomycin and oxytetracycline, may be effective in the fight against citrus greening disease and have been used in the United States but have been banned in Brazil and the European Union.[33] In 2016, the EPA allowed use of streptomycin and oxytetracyclin on orchards with citrus fruits like grapefruits, oranges and tangerines in Florida on an emergency basis, this approval was expanded and broadened to other states for oxytetracycline in December 2018.[33][34] Further expansion of medically important antibiotics is proposed by the EPA but opposed by the FDA and CDC, primarily as antibiotic resistance can be expected to develop and impact human health.[33][34]

Peptide
University of California Riverside announced that geneticist Hailing Jin discovered a peptide capable of treating citrus greening disease. The university entered into an exclusive license with Invaio to develop an enhanced injectable version of the product.[35]

",
Peach Bacterial Spot,"The symptoms of bacterial spot are quite different from other diseases of stone fruits. They may be confused with nitrogen deficiency and spray injury. The disease first appears as small, water-soaked, grayish areas on leaves. Later the spots become angular and purple, black, or brown in color; the lesions always are delineated by the leaf veins. The mature spots remain angular and are most numerous at the tip ends and along the midribs of leaves. The infected areas may drop out, giving the infected leaves a shot hole, tattered appearance. On plum, the shot-hole effect is more pronounced than on other stone fruits. Infected leaves eventually turn yellow and drop. Severe defoliation often results in reduced fruit size and increased sunburn and fruit cracking. As a result, tree vigor and winter hardiness are also reduced. Other leaf spot diseases and spots due to spray injury tend to be much more circular in outline. These spots can vary in size; from pin-prick to larger depending on the size of the water droplet. These typically are not confined by veins in the leaf as is bacterial spot.","The bacterial spot pathogen overwinters in association with buds, in protected areas on the woody surface of the tree (e.g., cracks in the bark), and in leaf scars that become infected during leaf drop the previous season.",,"In late winter as temperatures are above 65°F, leaf and flower buds swell, new tissue emerges, and the bacteria begin to multiply. The bacteria are spread from cankers by dripping dew and in splashing and/or wind-blown rain to the newly emerging leaves. Bacteria can also infect through natural openings or wounds. High-moisture conditions are very favorable for both leaf and fruit infections. Leaf infections can occur for at least as long as terminal growth and leaf emergence continues. Severe fruit infections are more common when frequent periods of rainfall or even extended heavy dews and very high humidity occur from late bloom to near pit-hardening. Bacterial spot is more severe in areas where peaches are grown in light, sandy soils and disease is more severe on stressed trees. Wind and wind-blown sand can increase the severity of bacterial spot by creating wounds for the bacteria to infect.","Bacterial spot is very difficult to control on highly susceptible cultivars. Under optimal environmental conditions for disease development, control can be difficult even on moderately susceptible cultivars. Control and management measures must be applied preventatively to successfully reduce losses from this disease. Once bacterial spot symptoms are observed, it is almost impossible to bring the disease under control if environmental conditions remain favorable. Environmental conditions that favor bacterial spot development include heavy rain events when temperatures are above 75°F. Extended periods of hot, dry weather reduce the threat of the disease. Planting resistant cultivars is the most effective control measure. An increasing number of good peach cultivars are highly resistant to bacterial spot. Resistance in plums, nectarines, and apricots is not as common. Most, if not all, cultivars developed west of the Rocky Mountains are highly susceptible because they are bred in an environment unsuitable for disease development. Many of the new low-acid white and yellow stone fruit cultivars are highly susceptible to bacterial spot infection. Check with the nursery on the bacterial spot susceptibility before purchasing and planting new stone fruit cultivars. Major outbreaks of bacterial spot in young orchards are often attributed to poor cultural practices. Trees in poor vigor are more susceptible, so orchard management programs should be designed to maintain good vigor. High populations of ring nematode have also been associated with increased bacterial spot, which may be related to stress caused by the nematodes. Minimize blowing sand and/or soil particles within and surrounding the orchard by employing appropriate ground covers and/or by use of appropriately placed windbreaks to blunt the damaging effects of strong winds while still allowing for air movement through the orchard. There are no completely successful spray programs for control of bacterial spot. Chemical sprays with copper-based bactericide and the antibiotic oxytetracycline have moderate efficacy but must be used preventatively. Copper-based sprays are applied from dormant to shuck-split phenology stages to reduce initial inoculum. Because of high sensitivity of peach foliage to copper, rates are reduced progressively in successive sprays during this period. For the cover sprays that start at shuck-off, copper can be used at 0.5 – 1.0 oz/A of metallic copper. This low rate can still cause phytotoxicity; however, it will be a tool that can be used with other products in rotation. Other products include the antibiotic oxytetracycline (Mycoshield or FireLine), which helps suppress the development of the disease but does not eliminate it. Bacterial-based products (Serenade, Double Nickel) have shown utility in Pennsylvania when used in rotation with copper under conditions of low to moderate disease pressure. Including Regalia in rotation has shown efficacy, particularly for cultivars with moderate susceptibility. Because chemical control is uncertain, planting resistant cultivars appears to be the best long-term control strategy. If crop loss results from severe winter temperatures or early spring freezes, bacterial spot must still be managed on susceptible varieties during the season to prevent defoliation and inoculum buildup for the next season. When using copper during cover sprays, be mindful of conditions that will promote phytotoxicity, such as slow drying conditions, acidic spray mixtures, and tank mixing with foliar fertilizers or adjuvants."
Peach Healthy,,,,,
Pepper Bacterial Spot,"Lesions can occur on leaf parts (leaflets and petiole) and fruit parts (fruit, peduncle, and calyx). Stems are also susceptible but usually the other foliage parts are infected to a greater degree. Positive diagnosis requires testing in a laboratory; however, certain symptoms, especially those on the fruit, are suggestive of bacterial spot.[2]

","Xanthomonas campestris pv. vesicatoria survives on tomato and pepper plants, seeds, and debris from infected plants as it cannot live in the soil for more than a few weeks.[5] The bacterium can also be found in association with wheat roots and some weed species which are both considered sources of inoculum as well as diseased tomato and pepper plants.[5] In cold climates, Xanthomonas campestris pv. vesicatoria infection is mostly caused by contaminated seed material, both on and inside of seeds.[7] If it survives on seeds, it will infect the cotyledons of the growing plant as it emerges from the seed coat. Internally infected seeds will produce diseased plants from the point of germination. Systemic symptoms such as wilting, yellowing, and dwarfing are not typical of plants infected at the point of germination. However, foliage loss can happen when localized symptoms on leaves become severe. If the bacterium survives on debris, it may infect healthy plants through stomata as well as wounds on leaves and fruit. It is spread by direct contact of plants with debris, human movement of the bacteria from debris to plants, and can easily travel from debris to healthy plants through saturated soils via water movement. Once infected, plants begin to develop lesions on the leaves as well as fruit, becoming inoculum sources for further infection.

",,"Bacterial spot of pepper and tomato can spread extremely quickly with infected plants showing symptoms 3–5 days after exposure to the pathogen.[5] Starting with one infected plant, susceptible neighboring plants can show symptoms in as little as two weeks and an entire field can become diseased in as little as ten weeks.[8] There are currently several methods of control, some of which are more effective than others.

In the 1950s, the antibiotic streptomycin was used extensively to control the spread of Xanthomonas campestris pv. vesicatoria. However, the bacteria developed resistant strains and widespread antibiotic application is no longer an effective method of control.[9]

It was once believed that a single strain of Xanthomonas campestris pv. vesicatoria was responsible for leaf spot disease on peppers and tomatoes. However, it is now known that there are four different phenotypic groups within the Xanthomonas genus that are pathogenic.[10] Group A and C are found in Xanthomonas campestris pv. vesicatoria, group B is found in X. vesicatoria, and group D is found in X. gardeneri.[10] Some of the strains have as little as 70% of their DNA in common which makes breeding for resistance extremely difficult. While there has been some research made into finding resistant varieties of host plants, success has been limited due to the variation in the pathogen

Xanthomonas campestris pv. vesicatoria does not survive well in decayed plant material therefore removal of debris and crop rotation are two good methods for preventing the spread of this bacterium. Another important management method is to eliminate volunteer plants (plants that grow without being specifically planted or managed by farmers) as wild pepper and tomato plants can harbor the disease in warmer climates.[5]

Currently, the most effective treatment for bacterial spot of pepper and tomato is a combination of chemical applications. Diseased seeds may be treated with sodium hypochlorite, calcium hypochlorite, or trisodium phosphate to kill bacteria on the surface of the seed.[5] Treating internal seed infection is harder but can be done with other chemical or heat treatments. Infected fields are treated with multiple application approach involving spraying a mixture of copper and mancozeb, which prevents further infection and kills a variety of pathogens present at the time of spraying.[9] Finally, there is some research being done into the foliar application of bacteriophages (viruses that infect bacteria) to control the disease but this approach has been met with some resistance and is not currently a widely used method.[9]

","We do not recommend that growers save their own pepper seed. They should never save seed from hybrid varieties. The natural crossing of peppers is higher than that of tomatoes (usually less than 10% but as high as 25% in extreme cases). Isolation by distance (several hundred feet) and location upwind should be sufficient.

The flesh of mature peppers is relatively dry so that wet fermentation as used with tomato seeds is not necessary. Most of the seed exposed on the central core can be removed by cutting away the outer shell. Remember to use rubber gloves when working with hot peppers and avoid contact with your eyes. Pepper seed dries quickly when spread in a shallow layer. Do not save seed from a field known to have or suspected of having bacterial spot. Following harvest, pepper seed may be treated in one of two ways: (1) Soak the seeds for 30 minutes in a 10% solution of household bleach (0.525% sodium hypochlorite, NaOCI). (2) A hot water soak for pepper seed has long been recommended. Soak seeds at 125° F (51 ° C) for 30 minutes. The temperature and length of treatment are important; so monitor temperature with a good dairy or laboratory thermometer and keep the water bath agitated. The seed may be held in loosely woven cheesecloth bags not over one-half full to aid in handling. After treatment, dip the bag in cold water to stop the heat treatment. Spread the seeds out to dry and apply a protective seed-treatment fungicide such as thiram. Freshly harvested seed withstand the heat treatment better than do 1- or 2-year old seed.
"
Pepper Healthy,,,,,
